NEIGHBORHOOD,PREDOMINANT NON-ENGLISH LANGUAGE,PERCENTAGE
Rogers Park,SPANISH,9.9
West Ridge,SPANISH,8.7
Uptown,SPANISH,4.9
Lincoln Square,SPANISH,8.4
North Center,SPANISH,4.2
Lake View,SPANISH,1.9
Lincoln Park,SPANISH,1.2
Near North Side,SPANISH,1.3
Edison Park,POLISH,2.3
Norwood Park,POLISH,6.5
Jefferson Park,POLISH,8.1
Forest Glen,POLISH,1.4
North Park,SPANISH,5.9
Albany Park,SPANISH,29.3
Portage Park,SPANISH,11.9
Irving Park,SPANISH,19
Dunning,POLISH,15.4
Montclaire,SPANISH,16.6
Belmont Cragin,SPANISH,33.1
Hermosa,SPANISH,37.8
Avondale,SPANISH,31.9
Logan Square,SPANISH,21.2
Humboldt Park,SPANISH,18.4
West Town,SPANISH,9.9
Austin,SPANISH,2.7
West Garfield Park,SPANISH,0.1
East Garfield Park,SPANISH,0.4
Near West Side,SPANISH,1.6
North Lawndale,SPANISH,2.4
South Lawndale,SPANISH,43.8
Lower West Side,SPANISH,39.9
Loop,CHINESE,1.7
Near South Side,CHINESE,2.1
Armour Square,CHINESE,44.8
Douglas,CHINESE,3.2
Oakland,SPANISH,1.8
Fuller Park,SPANISH,2.5
Grand Boulevard,SPANISH,1.1
Kenwood,SPANISH,1.1
Washington Park,SPANISH,1
Hyde Park,CHINESE,1.7
Woodlawn,SPANISH,1
South Shore,SPANISH,0.7
Chatham,SPANISH,0.4
Avalon Park,AFRICAN LANGUAGES,0.4
South Chicago,SPANISH,8.7
Burnside,AFRICAN LANGUAGES,0.8
Calumet Heights,SPANISH,0.7
Roseland,SPANISH,0.4
Pullman,SPANISH,3.8
South Deering,SPANISH,10.4
East Side,SPANISH,25.5
West Pullman,SPANISH,2.1
Riverdale,SPANISH,1.1
Hegewisch,SPANISH,6
Garfield Ridge,SPANISH,9.6
Archer Heights,SPANISH,31.8
Brighton Park,SPANISH,37.9
McKinley Park,SPANISH,23.6
Bridgeport,CHINESE,20.1
New City,SPANISH,26.8
West Elsdon,SPANISH,31.3
Gage Park,SPANISH,44.5
Clearing,SPANISH,12.5
West Lawn,SPANISH,29.8
Chicago Lawn,SPANISH,19.1
West Englewood,SPANISH,1.2
Englewood,SPANISH,0.4
Greater Grand Crossing,SPANISH,0.4
Ashburn,SPANISH,11.6
Auburn Gresham,SPANISH,0.4
Beverly,SPANISH,0.9
Washington Heights,SPANISH,0.3
Mount Greenwood,SPANISH,0.5
Morgan Park,SPANISH,0.6
O'Hare,POLISH,11.8
Edgewater,SPANISH,4.6
Chicago,SPANISH,11.3
